Language,Key,Original Text (FR)
"ar","dashboarduser.mes_favoris","Mes favoris"
"ar","dashboarduser.notifications","Notifications"
"ar","dashboarduser.mon_profil","Mon profil"
"ar","dashboarduser.uvres_favorites_1","Œuvres favorites"
"ar","dashboarduser.par","• Par"
"ar","dashboarduser.ajout","Ajouté le"
"ar","dashboarduser.voir","Voir"
"ar","dashboarduser.aucune_uvre_favorite","Aucune œuvre favorite"
"ar","dashboarduser.explorer_les_uvres","Explorer les œuvres"
"ar","dashboarduser.vnements_suivis_1","Événements suivis"
"ar","dashboarduser.ajout_1","Ajouté le"
"ar","dashboarduser.voir_1","Voir"
"ar","dashboarduser.aucun_vnement_suivi","Aucun événement suivi"
"ar","dashboarduser.dcouvrir_les_vnements","Découvrir les événements"
"ar","dashboarduser.sites_patrimoniaux_favoris","Sites patrimoniaux favoris"
"ar","dashboarduser.ajout_2","Ajouté le"
"ar","dashboarduser.voir_2","Voir"
"ar","dashboarduser.aucun_site_favori","Aucun site favori"
"ar","dashboarduser.explorer_patrimoine","Explorer le patrimoine"
"ar","dashboarduser.notifications_1","Notifications"
"ar","dashboarduser.nouvel_vnement_dans","Nouvel événement dans votre région"
"ar","dashboarduser.festival_musique_andalouse","Le Festival de musique andalouse aura lieu le 20 mars à Alger."
"ar","dashboarduser.aucune_autre_notification","Aucune autre notification"
"ar","dashboarduser.informations_personnelles","Informations personnelles"
"ar","dashboarduser.prnom","Prénom"
"ar","dashboarduser.nom","Nom"
"ar","dashboarduser.email","Email"
"ar","dashboarduser.type_compte","Type de compte"
"ar","dashboarduser.visiteur","Visiteur"
"ar","dashboarduser.membre_depuis","Membre depuis"
"ar","dashboarduser.vous_souhaitez_crer","Vous souhaitez créer du contenu ?"
"ar","dashboarduser.devenir_professionnel","Devenir professionnel"
"ar","dashboarduser.modifier_profil","Modifier le profil"
"ar","dashboardpro.participants","participants"
"ar","dashboardpro.visites","visites"
"ar","dashboardpro.da","DA"
"ar","dashboardpro.dashboard_professionnel","Dashboard Professionnel"
"ar","dashboardpro.grez_vos_crations","Gérez vos créations culturelles"
"ar","dashboardpro.actualiser","Actualiser"
"ar","dashboardpro.uvres","Œuvres"
"ar","dashboardpro.vnements","Événements"
"ar","dashboardpro.services","Services"
"ar","dashboardpro.vues_totales","Vues totales"
"ar","dashboardpro.uvres_1","Œuvres"
"ar","dashboardpro.vnements_1","Événements"
"ar","dashboardpro.services_1","Services"
"ar","dashboardpro.patrimoine","Patrimoine"
"ar","dashboardpro.placeholder_rechercher","Rechercher..."
"ar","dashboardpro.mes_uvres","Mes œuvres ("
"ar","dashboardpro.nouvelle_uvre","Nouvelle œuvre"
"ar","dashboardpro.aucune_uvre_cre","Aucune œuvre créée"
"ar","dashboardpro.crer_premire_uvre","Créer ma première œuvre"
"ar","dashboardpro.mes_vnements","Mes événements ("
"ar","dashboardpro.nouvel_vnement","Nouvel événement"
"ar","dashboardpro.aucun_vnement","Aucun événement créé"
"ar","dashboardpro.crer_mon_premier","Créer mon premier événement"
"ar","dashboardpro.mes_services","Mes services ("
"ar","dashboardpro.nouveau_service","Nouveau service"
"ar","dashboardpro.aucun_service","Aucun service créé"
"ar","dashboardpro.crer_mon_premier_1","Créer mon premier service"
"ar","dashboardpro.mon_patrimoine","Mon patrimoine ("
"ar","dashboardpro.nouveau_site","Nouveau site"
"ar","dashboardpro.aucun_site_patrimoine","Aucun site patrimoine enregistré"
"ar","dashboardpro.ajouter_mon_premier","Ajouter mon premier site"
"ar","dashboardadmin.label_validation","Validation"
"ar","dashboardadmin.label_rejet","Rejet"
"ar","dashboardadmin.label_message","Message"
"ar","dashboardadmin.label_suspension","Suspension"
"ar","dashboardadmin.label_ractivation","Réactivation"
"ar","dashboardadmin.label_information","Information"
"ar","dashboardadmin.label_avertissement","Avertissement"
"ar","dashboardadmin.title_connexion_tablie","Connexion établie"
"ar","dashboardadmin.description_notifications_temps_rel","Notifications temps réel activées"
"ar","dashboardadmin.title_notification_envoye","Notification envoyée"
"ar","dashboardadmin.voir_lhistorique","Voir l'historique"
"ar","dashboardadmin.title_erreur","Erreur"
"ar","dashboardadmin.description_impossible_denvoyer_notifica","Impossible d'envoyer la notification"
"ar","dashboardadmin.title_erreur_1","Erreur"
"ar","dashboardadmin.description_veuillez_remplir_tous","Veuillez remplir tous les champs obligatoires"
"ar","dashboardadmin.title_notification_globale_envoye","Notification globale envoyée"
"ar","dashboardadmin.description_tous_les_utilisateurs","Tous les utilisateurs recevront cette notification"
"ar","dashboardadmin.title_erreur_2","Erreur"
"ar","dashboardadmin.description_impossible_denvoyer_notifica_1","Impossible d'envoyer la notification globale"
"ar","dashboardadmin.title_erreur_3","Erreur"
"ar","dashboardadmin.description_veuillez_remplir_tous_1","Veuillez remplir tous les champs"
"ar","dashboardadmin.title_aucune_slection","Aucune sélection"
"ar","dashboardadmin.title_succs","Succès"
"ar","dashboardadmin.title_erreur_4","Erreur"
"ar","dashboardadmin.description_une_erreur_est","Une erreur est survenue lors du traitement"
"ar","dashboardadmin.title_erreur_5","Erreur"
"ar","dashboardadmin.description_veuillez_indiquer_une","Veuillez indiquer une raison pour la suspension"
"ar","dashboardadmin.message_votre_mot_passe","Votre mot de passe a été réinitialisé. Un email contenant les instructions vous a été envoyé."
"ar","dashboardadmin.message_votre_compte_ractiv","Votre compte a été réactivé. Vous pouvez à nouveau accéder à tous les services."
"ar","dashboardadmin.priode_prcdente","% vs période précédente"
"ar","dashboardadmin.affichage","Affichage de"
"ar","dashboardadmin.sur","sur"
"ar","dashboardadmin.rsultats","résultats"
"ar","dashboardadmin.page","Page"
"ar","dashboardadmin.sur_1","sur"
"ar","dashboardadmin.type_notification","Type de notification"
"ar","dashboardadmin.titre","Titre *"
"ar","dashboardadmin.placeholder_titre_notification","Titre de la notification"
"ar","dashboardadmin.message","Message *"
